english,nepali
a,a
ability,क्षमता
able,सक्षम
about,बारेमा
above,माथि
accept,स्वीकार गर्नुहोस्
according,अनुसार
account,खाता
across,पार
act,कार्य
action,कार्य
activity,गतिविधि
actually,वास्तवमा
add,थप्नुहोस्
address,ठेगाना
administration,प्रशासन
admit,स्वीकार
adult,वयस्क
affect,असर गर्छ
after,पछि
again,फेरि
against,विरुद्ध
age,उमेर
agency,एजेन्सी
agent,एजेन्ट
ago,पहिले
agree,सहमत
agreement,सम्झौता
ahead,अगाडि
air,हावा
all,सबै
allow,अनुमति दिनुहोस्
almost,लगभग
alone,एक्लै
along,साथ
already,पहिले नै
also,पनि
although,यद्यपि
always,सधैं
American,अमेरिकी
among,बीचमा
amount,रकम
analysis,विश्लेषण
and,र
animal,जनावर
another,अर्को
answer,जवाफ
any,कुनै पनि
anyone,जो कोही
anything,केहि पनि
appear,देखा पर्छन्
apply,निवेदन गर्नु
approach,दृष्टिकोण
area,क्षेत्र
argue,तर्क
arm,हात
around,वरपर
arrive,आइपुग्छ
art,कला
article,लेख
artist,कलाकार
as,जस्तै
ask,सोध्नु
assume,मान्न
at,मा
attack,आक्रमण
attention,ध्यान
attorney,वकील
audience,दर्शक
author,लेखक
authority,अधिकार
available,उपलब्ध
avoid,जोगिन
away,टाढा
baby,बच्चा
back,फिर्ता
bad,नराम्रो
bag,झोला
ball,बल
bank,बैंक
bar,बार
base,आधार
be,हुन
beat,पिट्नु
beautiful,सुन्दर
because,किनभने
become,बन्नु
bed,ओछ्यान
before,पहिले
begin,सुरु गर्नुहोस्
behavior,व्यवहार
behind,पछाडि
believe,विश्वास
benefit,लाभ
best,सबै भन्दा राम्रो
better,राम्रो
between,बीचमा
beyond,परे
big,ठूलो
bill,बिल
billion,अरब
bit,बिट
black,कालो
blood,रगत
blue,नीलो
board,बोर्ड
body,जीउ
book,पुस्तक
born,जन्मेको
both,दुबै
box,बक्स
boy,केटा
break,ब्रेक
bring,ल्याउनुहोस्
brother,भाइ
budget,बजेट
build,निर्माण
building,भवन
business,व्यापार
but,तर
buy,किन्नुहोस्
by,द्वारा
call,कल गर्नुहोस्
camera,क्यामेरा
campaign,अभियान
can,सक्छ
cancer,क्यान्सर
candidate,उम्मेदवार
capital,पूंजी
car,कार
card,कार्ड
care,हेरचाह
career,क्यारियर
carry,बोक्ने
case,मामला
catch,समात्नुहोस्
cause,कारण
cell,सेल
center,केन्द्र
central,केन्द्रीय
century,शताब्दी
certain,निश्चित
certainly,पक्कै पनि
chair,कुर्सी
challenge,चुनौती
chance,मौका
change,परिवर्तन
character,चरित्र
charge,चार्ज
check,जाँच गर्नुहोस्
child,बच्चा
choice,छनौट
choose,छान्नुहोस्
church,चर्च
citizen,नागरिक
city,शहर
civil,नागरिक
claim,दावी
class,कक्षा
clear,स्पष्ट
clearly,स्पष्ट रूपमा
close,बन्द
coach,प्रशिक्षक
cold,चिसो
collection,सङ्कलन
college,कलेज
color,रंग
come,आउनुहोस्
commercial,व्यावसायिक
common,सामान्य
community,समुदाय
company,कम्पनी
compare,तुलना गर्नुहोस्
computer,कम्प्युटर
concern,चिन्ता
condition,अवस्था
conference,सम्मेलन
Congress,कांग्रेस
consider,विचार गर्नुहोस्
consumer,उपभोक्ता
contain,समावेश गर्नुहोस्
continue,जारी राख्नुहोस्
control,नियन्त्रण
cost,लागत
could,सक्छ
country,देश
couple,जोडी
course,पाठ्यक्रम
court,अदालत
cover,आवरण
create,सिर्जना गर्नुहोस्
crime,अपराध
cultural,सांस्कृतिक
culture,संस्कृति
cup,कप
current,वर्तमान
customer,ग्राहक
cut,काट्नु
dark,अँध्यारो
data,डाटा
daughter,छोरी
day,दिन
dead,मृत
deal,सम्झौता
death,मृत्यु
debate,बहस
decade,दशक
decide,निर्णय
decision,निर्णय
deep,गहिरो
defense,रक्षा
degree,डिग्री
Democrat,लोकतन्त्रवादी
democratic,लोकतान्त्रिक
describe,वर्णन गर्नुहोस्
design,डिजाइन
despite,बावजुद
detail,विस्तार
determine,निर्धारण गर्ने
develop,विकास
development,विकास
die,मर्नु
difference,भिन्नता
different,फरक
difficult,गाह्रो
dinner,डिनर
direction,दिशा
director,निर्देशक
discover,पत्ता लगाउनुहोस्
discuss,छलफल
discussion,छलफल
disease,रोग
do,गर्नु
doctor,डाक्टर
dog,कुकुर
door,ढोका
down,तल
draw,आकर्षित
dream,सपना
drive,ड्राइभ
drop,ड्रप
drug,औषधि
during,समयमा
each,प्रत्येक
early,प्रारम्भिक
east,पूर्व
easy,सजिलो
eat,खानु
economic,आर्थिक
economy,अर्थव्यवस्था
edge,किनारा
education,शिक्षा
effect,असर
effort,प्रयास
eight,आठ
either,या त
election,चुनाव
else,अरू
employee,कर्मचारी
end,अन्त्य
energy,ऊर्जा
enjoy,मजा लिनुहोस्
enough,पर्याप्त
enter,प्रविष्ट गर्नुहोस्
entire,सम्पूर्ण
environment,वातावरण
environmental,पर्यावरणीय
especially,विशेष गरी
establish,स्थापना
even,पनि
evening,साँझ
event,घटना
ever,कहिल्यै
every,हरेक
everybody,सबैजना
everyone,सबैजना
everything,सबै कुरा
evidence,प्रमाण
exactly,ठ्याक्कै
example,उदाहरण
executive,कार्यकारी
exist,अवस्थित छ
expect,अपेक्षा
experience,अनुभव
expert,विशेषज्ञ
explain,व्याख्या गर्नुहोस्
eye,आँखा
face,अनुहार
fact,वास्तवमा
factor,कारक
fail,असफल
fall,पतन
family,परिवार
far,टाढा
fast,छिटो
father,बुबा
fear,डर
federal,संघीय
feel,महसुस
feeling,भावना
few,थोरै
field,क्षेत्र
fight,लडाई
figure,फिगर
fill,भर्न
film,चलचित्र
final,अन्तिम
finally,अन्तमा
financial,वित्तीय
find,फेला पार्नुहोस्
fine,राम्रो
finger,औंला
finish,समाप्त
fire,आगो
firm,फर्म
first,पहिलो
fish,माछा
five,पाँच
floor,भुइँ
fly,उड्नु
focus,फोकस
follow,पछ्याउन
food,खाना
foot,खुट्टा
for,को लागी
force,बल
foreign,विदेशी
forget,बिर्सनु
form,फारम
former,पूर्व
forward,अगाडि
four,चार
free,नि:शुल्क
friend,साथी
from,बाट
front,अगाडि
full,पूर्ण
fund,कोष
future,भविष्य
game,खेल
garden,बगैचा
gas,ग्यास
general,सामान्य
generation,पुस्ता
get,प्राप्त गर्नुहोस्
girl,केटी
give,दिनु
glass,गिलास
go,जानुहोस्
goal,लक्ष्य
good,राम्रो
government,सरकार
great,महान
green,हरियो
ground,जमीन
group,समूह
grow,बढ्नु
